Date,Open,High,Low,Close,Volume,Change
2010-01-04,19773,19926,19773,19904,883268,0.006065507480792487
2010-01-05,19962,19971,19830,19885,1781284,-0.0009545819935691258
2010-01-06,19917,20055,19909,20022,962659,0.006889615287905437
2010-01-07,20013,20036,19765,19774,1250996,-0.012386374987513715
2010-01-08,19857,19865,19605,19850,1428088,0.0038434307676746826
2010-01-11,19865,19957,19764,19850,1113932,0.0
2010-01-12,19865,19892,19689,19871,925115,0.001057934508816194
2010-01-13,19777,19777,19527,19548,1754439,-0.016254843742136815
2010-01-14,19619,19853,19601,19779,1230618,0.011817065684468941
2010-01-15,19822,19926,19725,19871,1083794,0.004651397947317948
2010-01-18,19760,20026,19708,19971,1268620,0.00503245936289054
2010-01-19,20050,20092,19922,19988,1543749,0.0008512342897200043
2010-01-20,20138,20138,19952,20012,1951708,0.0012007204322592724
2010-01-21,19818,20172,19818,20182,1016553,0.008494903058165137
2010-01-22,19958,19963,19489,19660,3248239,-0.025864631850163522
2010-01-25,19422,19657,19384,19586,1552018,-0.003763987792472001
2010-01-26,19618,19618,19080,19177,2435941,-0.020882262840804633
2010-01-27,19180,19248,19007,19016,2014727,-0.008395473744589821
2010-01-28,19076,19305,18989,19262,1485973,0.012936474547749155
2010-01-29,19052,19066,18668,18742,2717811,-0.026996158239019796
2010-02-01,18731,18878,18652,18808,2481305,0.00352150250773664
2010-02-02,18967,18997,18638,18702,2233025,-0.005635899617184137
2010-02-03,18868,18946,18754,18915,1172862,0.011389156239974385
2010-02-04,18946,18946,18793,18893,1459858,-0.001163098070314561
2010-02-05,18415,18566,18257,18356,5033499,-0.02842322553326626
2010-02-08,18388,18388,18163,18201,2055117,-0.00844410546960117
2010-02-09,18131,18375,18131,18364,1994267,0.0089555518927531
2010-02-10,18482,18499,18303,18374,1586792,0.000544543672402531
2010-02-11,18407,18767,18407,18685,1674968,0.016926091215848427
2010-02-12,18709,18726,18407,18609,2306259,-0.004067433770404083
2010-02-16,18593,18858,18504,18733,1197499,0.006663442420334231
2010-02-17,18886,19099,18886,19069,2941587,0.017936262211071474
2010-02-18,19109,19109,18964,18999,1164540,-0.003670879437831065
2010-02-19,18867,19019,18610,18661,2627570,-0.017790410021580105
2010-02-22,18863,19137,18858,19069,1604525,0.021863780076094574
2010-02-23,19057,19075,18907,19069,1193523,0.0
2010-02-24,18923,18936,18768,18832,1574573,-0.012428548953799412
2010-02-25,18851,18903,18461,18551,2035724,-0.014921410365335563
2010-02-26,18611,18683,18514,18559,974615,0.00043124359872792617
2010-03-02,18759,18972,18759,18883,1468199,0.017457837167950796
2010-03-03,18882,18932,18789,18938,1656859,0.0029126727744532843
2010-03-04,18946,19043,18833,18869,1292440,-0.0036434681592565354
2010-03-05,18911,19142,18911,19145,1562894,0.014627166251523605
2010-03-08,19299,19460,19299,19454,1283375,0.01613998433011221
2010-03-09,19425,19448,19369,19454,748387,0.0
2010-03-10,19454,19507,19375,19476,1282907,0.0011308728282102276
2010-03-11,19524,19582,19351,19359,1543824,-0.00600739371534198
2010-03-12,19427,19481,19314,19415,1004166,0.002892711400382275
