Date,Open,High,Low,Close,Volume,Change
2010-01-29,41263,41289,41263,41310,399,0.001017737714451794
2010-02-26,41670,41670,41619,41662,1353,-0.0003838955804020827
2010-03-31,41977,42130,41977,42075,1106,0.0005707355354211963
2010-04-30,42521,42533,42444,42494,1303,-0.0008464613214201888
2010-05-31,42542,42580,42542,42573,4679,0.0005640555594725871
2010-06-30,42450,42488,42450,42503,1649,0.0011070284529866026
2010-07-30,42446,42742,42446,42753,1130,0.00011696453635257065
2010-08-31,43187,43258,43187,43254,25308,0.0010414496979795906
2010-09-30,43638,43662,43633,43652,5315,0.00018330125561361044
2010-10-29,43790,43790,43705,43748,1502,-0.00031991225263927614
2010-11-30,43829,43898,43795,43915,2968,0.0027629355619491758
2010-12-31,43761,43879,43761,43824,1951,0.0013481092196960809
2011-01-31,43566,43566,43499,43545,405,-0.0015133796519226639
2011-02-28,43753,43843,43753,43852,4220,0.0018963193127556899
2011-03-31,44091,44169,44019,44144,8705,0.000838869113746199
2011-04-29,44080,44239,44080,44209,14351,0.0026080645892865295
2011-05-31,44496,44570,44445,44467,1229,0.00011245558004580047
2011-06-30,44399,44408,44305,44421,1652,-0.0003375641371861082
2011-07-29,44492,44535,44486,44499,1289,-0.0004043399150885918
2011-08-31,45050,45079,45039,45094,120,0.0008433948863635354
2011-09-30,45121,45165,45121,45180,46,0.001041366627523077
2011-10-31,45206,45249,45197,45262,454,0.001061618082894622
2011-11-30,45500,45596,45500,45607,5233,0.0020653439676576735
2011-12-30,45654,45757,45654,45771,658,0.0020359910679101922
2012-01-31,45800,45868,45800,45831,744,-0.0006541505854648078
2012-02-29,45893,45893,45858,45894,213,0.00017434511615732617
2012-03-30,45795,45818,45778,45812,110,0.000109153622808833
2012-04-30,46059,46118,46059,46132,3599,0.0012805764764611816
2012-05-31,46406,46427,46362,46428,5721,0.001250808712529583
2012-06-29,46561,46588,46536,46559,10585,-0.00036499484713159447
2012-07-31,47244,47268,47189,47248,10435,0.0
2012-08-31,47450,47498,47450,47480,5338,0.0006533330523299519
2012-09-28,47518,47553,47505,47549,4823,0.00046289477560113035
2012-10-31,47653,47673,47645,47689,1298,0.00046153523401937235
2012-11-30,47728,47732,47699,47711,733,-0.00025145108228741275
2012-12-31,47751,47806,47746,47801,2344,0.0018863574437759656
2013-01-31,48036,48036,47953,47983,684,0.00039613043115660496
2013-02-28,48271,48276,48261,48282,3259,6.213881811967248e-05
2013-03-29,48567,48990,48510,48574,1561,-8.234180081523323e-05
2013-04-30,48572,48672,48572,48666,205,0.0004934007647712235
2013-05-31,48417,48417,48360,48380,1456,-0.0011149192715860234
2013-06-28,48279,48279,48170,48244,310,0.0012244474421501117
2013-07-31,48309,48346,48309,48338,334,-0.0004549214226633458
2013-08-30,48472,48498,48462,48508,327,0.0009078903928689819
2013-09-30,48847,49205,48713,48751,306,0.0004925400701869531
2013-10-31,48855,48882,48847,48877,47,-0.000674708648538136
2013-11-29,48585,48701,48585,48690,410,0.0002054231717336652
2013-12-31,49030,49034,48963,48977,4068,-0.0014272024792545412
2014-01-31,49080,49080,49033,49091,87,0.0005299093039845548
2014-02-28,49291,49291,49261,49274,84,-0.0005273833671399775
2014-03-31,49423,49423,49342,49401,820,0.0010131506960344705
2014-04-30,49503,49535,49484,49492,303,-0.0003837531053705323
2014-05-30,49726,49757,49721,49730,879,-0.00010053282396704777
