Date,Open,High,Low,Close,Volume,Change
2015-10-01,10638,10638,10569,10572,30032,
2015-10-02,10609,10634,10609,10621,60029,0.00463488460083239
2015-10-05,10737,10747,10688,10708,40976,0.00819131908483195
2015-10-06,10728,10757,10648,10650,40252,-0.005416511019798231
2015-10-07,10569,10569,10413,10413,20248,-0.0222535211267606
2015-10-08,10472,10492,10246,10316,40068,-0.009315278978200281
2015-10-12,10314,10314,10284,10291,40071,-0.0024234199302055615
2015-10-13,10334,10334,10237,10237,20026,-0.005247303469050668
2015-10-14,10232,10265,10187,10187,22141,-0.004884243430692603
2015-10-15,10241,10270,10172,10272,243515,0.008343967802100671
2015-10-16,10373,10447,10368,10423,301757,0.014700155763239797
2015-10-19,10452,10457,10403,10413,293816,-0.0009594166746618171
2015-10-20,10447,10559,10403,10562,285721,0.01430903678094686
2015-10-21,10574,10584,10447,10473,305202,-0.008426434387426629
2015-10-22,10413,10418,10280,10301,255949,-0.01642318342404281
2015-10-23,10373,10408,10338,10408,234848,0.01038734103485095
2015-10-26,10457,10559,10437,10562,254135,0.014796310530361234
2015-10-27,10594,10614,10467,10468,249757,-0.0088998295777315
2015-10-28,10512,10668,10452,10664,239769,0.018723729461215033
2015-10-29,10693,10703,10594,10621,249038,-0.0040322580645161255
2015-10-30,10629,10629,10452,10458,231953,-0.015346954147443692
2015-11-02,10497,10521,10423,10423,226952,-0.0033467202141901353
2015-11-03,10512,10554,10413,10497,222643,0.007099683392497447
2015-11-04,10517,10544,10462,10547,222544,0.00476326569496055
2015-11-05,10589,10708,10589,10708,293936,0.015265004266616033
2015-11-06,10805,10815,10728,10758,196942,0.004669406051550196
2015-11-09,10800,10800,10418,10438,312418,-0.029745305818925427
2015-11-10,10329,10403,10078,10178,368001,-0.024908986395861255
2015-11-11,10142,10378,10137,10381,319402,0.019944979367262805
2015-11-12,10418,10539,10418,10492,335240,0.010692611501782023
2015-11-13,10398,10487,10334,10468,368605,-0.002287457110179192
2015-11-16,10255,10418,10255,10331,323207,-0.01308750477646159
2015-11-17,10497,10521,10447,10512,306449,0.017520085180524614
2015-11-18,10589,10619,10534,10562,315926,0.00475646879756475
2015-11-19,10629,10728,10589,10679,305928,0.011077447453133882
2015-11-20,10703,10742,10673,10743,2243,0.0059930705122202
2015-11-23,10767,10839,10737,10758,396349,0.0013962580284836434
2015-11-24,10785,10820,10742,10778,383702,0.001859081613682756
2015-11-25,10805,10825,10742,10773,354343,-0.00046390796066064777
2015-11-26,10844,10884,10777,10877,377678,0.009653764039728951
2015-11-27,10864,10924,10815,10822,447458,-0.005056541325733188
2015-11-30,10879,10879,10713,10787,329716,-0.0032341526520052177
2015-12-01,10815,10884,10767,10867,346495,0.007416334476684883
2015-12-02,10958,10983,10849,10852,404124,-0.001380325756878631
2015-12-03,10854,10904,10772,10906,320682,0.004976041282712895
2015-12-04,10762,10820,10757,10802,349083,-0.009536035209976146
2015-12-07,10884,10894,10688,10688,307686,-0.010553601184965733
2015-12-08,10643,10698,10413,10468,407333,-0.020583832335329344
2015-12-09,10433,10437,10393,10399,303776,-0.00659151700420324
2015-12-10,10368,10413,10187,10282,417682,-0.011251081834791843
2015-12-11,10299,10304,10078,10120,316150,-0.015755689554561414
2015-12-14,9932,9932,9744,9751,348085,-0.03646245059288533
2015-12-15,9842,9951,9803,9952,325183,0.020613270433801567
2015-12-16,10043,10103,10020,10041,371288,0.008942926045016009
2015-12-17,10118,10177,10005,10178,406445,0.013644059356637817
2015-12-18,10123,10403,10058,10404,690657,0.02220475535468669
2015-12-21,10343,10428,10338,10386,742594,-0.0017301038062284002
