Date,Open,High,Low,Close,Volume,Change
2015-10-30,10629,10629,10452,10458,231953,-0.015346954
2015-11-30,10879,10879,10713,10787,329716,-0.003234153
2015-12-31,10678,10820,10634,10822,395520,0.018445323
2016-01-29,11075,11080,10938,11083,416093,0.004076826
2016-02-29,10197,10255,10137,10257,630334,0.005884084
2016-03-31,10531,10604,10482,10562,417227,0.004278787
2016-04-29,10452,10472,10368,10473,385726,0.001434309
2016-05-31,10393,10477,10348,10478,338222,0.008566753
2016-06-30,9974,10176,9974,10177,332509,0.020250627
2016-07-29,10343,10408,10324,10404,356898,0.005703238
2016-08-31,9845,9860,9693,9817,507841,-0.003552578
2016-09-30,10047,10062,9910,9945,261550,-0.014663628
2016-10-31,9392,9392,9225,9260,1153413,-0.017715074
2016-11-30,8771,8795,8742,8796,1224260,0.003880393
2016-12-30,9205,9283,9150,9240,2135886,0.005878511
2017-01-31,8983,9032,8958,8979,1226536,-0.001667779
2017-02-28,9111,9141,9061,9088,863831,-0.002633889
2017-03-31,9061,9155,9061,9142,671842,0.009830995
2017-04-28,9412,9447,9322,9368,440549,-0.001598636
2017-05-31,9795,9840,9761,9811,1650741,0.007186121
2017-06-30,10174,10288,10174,10254,301555,0.002444032
2017-07-31,10039,10139,9955,10075,1699233,-0.00444664
2017-08-31,10264,10298,10239,10299,2254196,0.008815751
2017-09-29,10727,10767,10677,10762,1152985,0.005606429
2017-10-31,11922,11987,11887,11987,1557030,0.005030603
2017-11-30,13690,13755,13471,13521,4410649,-0.015222141
2017-12-29,14083,14208,13944,14208,6993956,0.011317531
2018-01-31,16648,16902,16558,16753,7499253,-0.011155708
2018-02-28,15518,15587,15244,15354,4964190,-0.0209157
2018-03-30,15538,15607,15478,15533,4874238,-0.000321792
2018-04-30,15230,15235,14870,14920,2804540,-0.020354563
2018-05-31,14935,14935,14695,14880,2571980,0.001345895
2018-06-29,13860,14000,13645,13910,4104978,0.011636364
2018-07-31,12515,12740,12435,12740,3692095,0.016354208
2018-08-31,13495,13900,13445,13825,4301962,0.0218034
2018-09-28,14390,14500,14150,14150,3700968,-0.015309673
2018-10-31,11560,11560,11260,11285,9078381,-0.021673169
2018-11-30,11935,12030,11875,11950,3156898,0.005469079
2018-12-31,11765,11830,11665,11800,4845337,0.004255319
2019-01-31,11480,11640,11480,11630,3063345,0.018388792
