Date,Close,Open,High,Low,Volume,Change
2010-01-29,496.57,508.67,509.54,493.61,835810.0,-0.0403
2010-02-26,507.03,507.52,508.52,502.24,740540.0,0.0048
2010-03-31,515.74,520.26,520.72,514.84,688990.0,-0.0045000000000000005
2010-04-30,523.75,525.4,525.73,522.81,750300.0,0.0087
2010-05-31,489.42,481.89,489.42,481.89,437130.0,0.0217
2010-06-30,489.98,477.67,489.98,477.01,530160.0,0.005
2010-07-30,481.45,483.76,484.43,479.27,484880.0,-0.0023
2010-08-31,464.71,464.64,466.03,462.06,517380.0,-0.003
2010-09-30,492.75,491.69,493.24,491.26,473690.0,0.0064
2010-10-29,526.45,530.48,530.53,522.11,463720.0,-0.0017000000000000001
2010-11-30,498.39,496.2,499.23,493.54,702740.0,0.008199999999999999
2010-12-31,510.69,505.29,510.72,505.29,623420.0,0.0167
2011-01-31,521.38,523.01,524.86,521.38,514370.0,-0.0115
2011-02-28,504.46,510.83,510.84,503.17,531000.0,-0.0096
2011-03-31,525.42,523.83,525.42,522.98,616880.0,0.01
2011-04-29,511.0,516.41,516.42,507.12,373390.0,-0.0070999999999999995
2011-05-31,484.54,482.86,484.59,481.31,359050.0,0.0084
2011-06-30,479.55,479.3,479.57,477.41,361030.0,0.0063
2011-07-29,536.05,541.57,543.32,536.05,485610.0,-0.0046
2011-08-31,493.44,492.2,493.45,488.08,485010.0,0.0101
2011-09-30,449.66,446.75,451.34,445.98,466620.0,0.0144
2011-10-31,490.69,492.96,493.71,488.34,508100.0,0.0002
2011-11-30,492.81,493.58,496.53,491.16,534770.0,0.0002
2011-12-30,500.18,495.04,500.73,494.87,488730.0,0.01
2012-01-31,513.99,512.03,514.3,511.52,689350.0,0.0072
2012-02-29,542.3,543.96,544.4,542.24,749240.0,0.0036
2012-03-30,519.56,515.33,519.96,514.73,665250.0,0.0104
2012-04-30,478.89,482.48,482.84,476.31,560140.0,-0.0004
2012-05-31,471.94,464.6,471.98,463.51,544650.0,0.0049
2012-06-29,489.16,486.69,489.38,485.07,630740.0,0.0067
2012-07-31,467.61,466.38,467.61,465.71,490960.0,0.0046
2012-08-31,508.35,506.19,509.35,506.19,696050.0,0.0054
2012-09-28,523.78,521.46,523.94,521.01,504080.0,0.0106
2012-10-31,508.31,506.22,510.23,506.22,465180.0,0.011899999999999999
2012-11-30,499.37,498.99,499.5,498.05,368980.0,0.0053
2012-12-31,496.32,493.66,496.32,493.16,329010.0,0.0086
2013-01-31,503.67,503.94,505.29,502.49,381680.0,0.0017000000000000001
2013-02-28,535.87,536.25,536.53,534.59,407870.0,0.004699999999999999
2013-03-29,555.02,555.8,555.87,553.97,404850.0,0.0043
2013-04-30,563.87,570.24,570.28,562.31,505700.0,-0.0079
2013-05-31,577.87,583.14,583.81,571.61,487620.0,-0.005600000000000001
2013-06-28,519.06,516.63,519.65,514.63,373690.0,0.013300000000000001
2013-07-31,554.31,548.72,554.65,547.78,354850.0,0.0144
2013-08-30,516.74,522.11,523.04,515.83,399570.0,-0.006999999999999999
2013-09-30,534.89,538.0,538.0,534.49,297050.0,-0.0049
2013-10-31,532.44,537.71,537.71,532.44,313110.0,-0.0097
2013-11-29,517.06,517.61,518.19,514.55,280430.0,0.003
2013-12-31,499.99,498.41,500.05,497.54,234610.0,0.0
2014-01-31,515.2,512.13,515.25,512.13,389470.0,0.0116
2014-02-28,528.96,529.86,529.97,527.51,317970.0,0.0011
2014-03-31,541.58,546.57,547.03,538.78,287620.0,-0.0046
2014-04-30,559.34,560.04,561.73,559.08,309990.0,0.0043
2014-05-30,546.53,551.07,551.07,546.31,339720.0,-0.005600000000000001
2014-06-30,537.06,533.77,537.07,533.63,217630.0,0.0106
2014-07-31,536.32,541.99,542.08,528.15,339900.0,-0.0101
2014-08-29,570.2,570.52,571.44,568.46,403410.0,-0.0001
2014-09-30,573.22,571.63,573.54,567.3,387200.0,0.0069
2014-10-31,558.7,559.85,559.85,557.0,340920.0,0.0015
2014-11-28,545.08,547.29,548.01,544.51,354880.0,-0.0016
2014-12-31,542.97,540.58,543.08,540.28,388710.0,0.006999999999999999
2015-01-30,591.58,596.94,597.28,588.97,452070.0,-0.0026
2015-02-27,624.56,620.65,625.2,620.06,503340.0,0.0121
2015-03-31,650.49,650.75,650.75,647.38,524550.0,0.0058
2015-04-30,689.01,696.31,696.31,685.15,584950.0,-0.0096
2015-05-29,711.39,710.62,717.2,710.5,549340.0,0.0034000000000000002
2015-06-30,742.27,730.29,742.34,714.51,463290.0,0.0126
2015-07-31,725.06,713.87,725.06,703.56,512090.00000000006,0.0171
2015-08-31,687.11,689.9,689.9,682.14,389840.0,-0.0012
2015-09-30,678.48,673.43,678.5,668.58,814900.0,-0.0062
2015-10-30,683.63,691.26,692.42,681.72,757470.0,-0.0101
2015-11-30,688.38,695.69,695.81,683.52,638850.0,-0.0084
2015-12-31,682.35,677.08,683.34,674.87,512429.99999999994,0.013600000000000001
2016-01-29,682.8,683.76,683.76,677.07,579440.0,0.0022
2016-02-29,651.62,652.26,652.87,648.07,575180.0,0.0036
2016-03-31,688.38,693.02,693.13,687.09,642660.0,-0.004
2016-04-29,699.77,699.89,700.14,695.82,645840.0,0.0001
2016-05-31,698.45,692.82,698.45,691.93,672760.0,0.0092
2016-06-30,675.09,675.4,676.53,673.11,940040.0,0.0078000000000000005
2016-07-29,706.24,705.39,706.83,705.13,757890.0,0.0034999999999999996
2016-08-31,663.69,668.63,669.05,656.21,610790.0,-0.0059
2016-09-30,681.21,688.49,688.49,680.1,680610.0,-0.0125
2016-10-31,624.68,638.62,638.62,623.37,558280.0,-0.0242
2016-11-30,596.11,597.38,597.49,594.13,560830.0,0.0001
2016-12-30,631.44,626.21,631.51,624.23,582800.0,0.0066
2017-01-31,616.13,616.77,618.32,615.06,727040.0,-0.0011
2017-02-28,612.2,613.67,614.36,611.13,675830.0,0.0001
2017-03-31,619.28,616.2,619.48,615.43,775560.0,0.0075
2017-04-28,628.24,632.83,632.83,627.28,755490.0,-0.0045000000000000005
2017-05-31,652.04,650.51,652.52,649.51,664050.0,0.0046
2017-06-30,669.04,665.67,669.12,665.57,511580.0,0.0016
2017-07-31,650.47,648.84,651.83,643.77,504710.0,-0.0038
2017-08-31,657.83,657.13,658.03,655.64,616040.0,0.0043
2017-09-29,652.82,650.32,653.58,648.68,692250.0,0.0073
2017-10-31,694.2,691.07,694.23,689.29,627100.0,0.0066
2017-11-30,771.42,779.84,782.42,769.79,1050000.0,-0.0132
2017-12-29,798.42,791.76,798.68,790.34,1070000.0,0.008199999999999999
2018-01-31,913.57,910.89,917.78,903.52,1200000000.0,-0.008
2018-02-28,857.06,866.5,868.53,853.9,820920000.0,-0.0194
2018-03-30,871.09,869.86,873.04,867.11,764030000.0,0.0059
2018-04-30,875.95,886.29,886.6,870.54,1350000000.0,-0.011899999999999999
2018-05-31,879.66,880.97,880.97,873.16,1080000000.0,0.0062
2018-06-29,818.22,817.2,819.05,802.0,642990000.0,0.009899999999999999
2018-07-31,775.52,768.75,775.52,766.52,615000000.0,0.0074
2018-08-31,816.97,803.18,817.83,801.69,727390000.0,0.0155
2018-09-28,822.27,832.37,833.14,819.9,704230000.0,-0.0129
2018-10-31,648.67,648.72,650.38,638.38,619020000.0,0.006999999999999999
