Date,Open,High,Low,Close,Volume,Change
2011-10-20,87372,87486,87347,87439,43093,
2011-10-21,87299,87356,86905,87051,4286,-0.0044373792015004465
2011-10-24,87075,87075,86717,86750,4303,-0.003457743162054383
2011-10-25,86878,87001,86831,86921,1186,0.001971181556196022
2011-10-26,86862,87062,86774,87047,17543,0.0014495921583967952
2011-10-27,86930,87166,86908,86912,1737,-0.0015508863028019793
2011-10-28,86883,86883,86569,86820,815,-0.0010585419734904233
2011-10-31,87067,87306,87067,87253,215,0.004987330108269905
2011-11-01,87568,87656,87529,87564,5653,0.0035643473576840723
2011-11-02,87616,87652,87600,87625,539,0.000696633319628992
2011-11-03,87691,87722,87678,87725,1306,0.001141226818830221
2011-11-04,87670,87682,87547,87589,897,-0.0015502992305500563
2011-11-07,87616,87665,87564,87668,1308,0.000901939741291713
2011-11-08,87677,87883,87677,87886,2472,0.0024866541953734167
2011-11-09,87923,88029,87923,87979,128,0.0010581890175909159
2011-11-10,87975,88237,87923,88140,950,0.0018299821548324324
2011-11-11,88097,88097,87853,87856,242,-0.003222146584978436
2011-11-14,87839,87839,87538,87581,346,-0.0031301220178473477
2011-11-15,87691,87783,87670,87756,616,0.0019981502837373988
2011-11-16,87810,88102,87712,88106,357,0.0039883312821915595
2011-11-17,88029,88063,87875,87909,580,-0.0022359430685764403
2011-11-18,87866,88063,87843,88052,168,0.001626682137210178
2011-11-21,87923,87992,87770,87996,196,-0.0006359878253758833
2011-11-22,87970,88133,87964,88122,5021,0.0014318832674211635
2011-11-23,88198,88208,88089,88208,766,0.0009759197476226777
2011-11-24,88247,88338,88247,88310,720,0.0011563576999817915
2011-11-25,88237,88237,87927,87974,483,-0.003804778620767779
2011-11-28,87959,87992,87843,87909,864,-0.0007388546616046154
2011-11-29,88005,88005,87879,87935,242,0.000295760388583588
2011-11-30,87936,88145,87936,88149,281,0.0024336157388979984
2011-12-01,88067,88208,87989,88052,699,-0.0011004095338574826
2011-12-02,88111,88154,88085,88122,235,0.0007949847817199096
