Date,Open,High,Low,Close,Volume,Change
2011-10-31,87067,87306,87067,87253,215,0.004987330108269905
2011-11-30,87936,88145,87936,88149,281,0.0024336157388979984
2011-12-30,88218,88555,88218,88545,570,0.004435419833473286
2012-01-31,88758,88890,88758,88891,336,0.001317953454840426
2012-02-29,88859,88859,88859,88861,104,-0.0005398778526358727
2012-03-30,88138,88353,88138,88354,211,0.004947735984258239
2012-04-30,89188,89343,89188,89319,178,0.0014463504877229028
2012-05-31,90436,90454,90305,90417,2012,0.0024835630259554264
2012-06-29,91167,91167,90943,91002,2594,-0.0017332163229486497
2012-07-31,94173,94235,93795,94073,2363,-9.566123169146845e-05
2012-08-31,94937,95083,94937,95019,301,0.0007899393326593618
2012-09-28,95118,95390,95118,95393,49,0.003471382136057244
2012-10-31,95675,95957,95675,95817,330,0.00016701287042941715
2012-11-30,95701,95838,95701,95705,522,0.0008889353691696744
2012-12-31,94772,95139,94772,95118,2065,0.005082578695436268
2013-01-31,95793,95826,95588,95827,57,0.0021124183006535624
2013-02-28,97020,97089,96855,96990,951,-0.0003401255372437184
2013-03-29,98224,112954,97990,98139,481,-0.0008857125404678756
2013-04-30,98595,98636,98595,98638,665,0.0009335741684086685
2013-05-31,97071,97071,96677,96679,140,-0.004140872055294009
2013-06-28,94690,95057,94690,94760,2202,0.0013526079972947525
2013-07-31,94750,94755,94337,94436,228,-0.0035243220428405886
2013-08-30,94324,94640,94301,94642,1651,0.002999183967613117
2013-09-30,95661,95881,95620,95837,435,0.0018293575296355336
2013-10-31,96259,96327,96127,96271,1514,-0.0024144076929453195
2013-11-29,94910,94910,94548,94697,121,-0.0022652562373567386
2013-12-31,95812,95812,95693,95694,53,-0.0012524265764919384
2014-01-31,95620,95620,95550,95553,435,-0.0010976604152292957
2014-02-28,96630,96687,96512,96687,822,-0.0004445363382611367
2014-03-31,96819,96951,96819,96954,663,0.00023728219042418175
2014-04-30,97273,97273,97071,97141,5186,-5.146892306429063e-05
2014-05-30,98742,98819,98668,98790,285,-0.0008596713021491453
2014-06-30,100243,100393,100243,100396,69,0.0010070292636721323
2014-07-31,101446,101446,101318,101402,454,-0.0016835182578047725
2014-08-29,101786,101859,101781,101801,346,-0.0007165714510081189
2014-09-30,103131,103484,103131,103485,320,0.004386943988819114
2014-10-31,105118,105502,105099,105505,389,0.0030422588772163195
2014-11-28,106010,106180,105970,106182,86,0.0032407713602735644
2014-12-31,106293,106377,106293,106378,43,0.0019025015069318307
2015-01-30,109567,109750,109341,109526,263,-0.0008210480221865213
2015-02-27,108714,108751,108459,108753,34,0.0009479981592268594
2015-03-31,110731,110807,110396,110808,43,0.001029866117404632
2015-04-30,109317,109317,108775,108946,521,0.0
2015-05-29,109148,109690,109148,109691,102,0.008013306499784045
2015-06-30,108814,108973,108738,108975,171,0.0019491922804630857
2015-07-31,110071,110317,109506,109577,382,-0.0016854649149978806
2015-08-31,110146,111325,110146,110930,887,0.0011010035376506355
2015-09-30,112154,113097,112154,113098,660,0.008408006776336352
2015-10-30,113747,113747,112677,112821,193,-0.003444894930704656
2015-11-30,111527,111739,111527,111741,13,-0.00033101325842299634
2015-12-31,113364,113403,113364,113399,1581,-0.0002556687943012781
2016-01-29,114026,114375,113794,114375,1447,0.002541964324845436
2016-02-29,116381,116523,116381,116503,49,0.000283334764316967
2016-03-31,116725,116725,116353,116586,732,-0.0011993900245018674
2016-04-29,116648,116778,116648,116736,981,0.001613069293338265
2016-05-31,116856,116928,116841,116842,334,0.00024826003955036313
2016-06-30,120300,120348,120082,120349,101,0.0009980953014663285
2016-07-29,121281,121596,121194,121316,187,0.00027209089484925286
2016-08-31,120547,120547,120217,120344,606,-0.004442385486552847
2016-09-30,120822,121238,120822,121239,95,0.005782216986610411
2016-10-31,118346,118519,118264,118521,126,0.001961298176500037
2016-11-30,114631,114631,114408,114487,80,0.00042817945088180487
2016-12-30,115413,115413,115290,115291,61,0.003027587586890812
2017-01-31,114222,114526,114222,114526,114,0.0018808338655071921
2017-02-28,114668,114741,114516,114742,79,0.0005580843753814069
2017-03-31,114810,114810,114560,114801,378,-7.839038411283639e-05
2017-04-28,114869,114869,114687,114815,1126,0.001447897495835182
2017-05-31,114398,114947,114398,114948,467,0.003597122302158251
2017-06-30,114732,115413,114732,115046,753,-0.002159677349408029
2017-07-31,115070,115148,114932,115065,111,-8.689984792531469e-05
2017-08-31,114942,115074,114932,115026,45,0.0006785677001774904
2017-09-29,113884,114036,113884,114036,1015,0.0007722820935864849
2017-10-31,112669,112968,112581,112621,89,-0.0023386632413517905
2017-11-30,113384,113600,113301,113600,43,0.00189619438197286
2017-12-29,113468,113668,113428,113659,113,0.0021160475758030817
2018-01-31,111008,111278,111008,111234,211,-0.00017976881730097372
2018-02-28,111729,111875,111645,111876,110,0.0010558528248536536
2018-03-30,113051,113277,113051,113164,127,0.0015576875420397762
2018-04-30,112924,112924,112635,112689,1248,0.0001242511648547051
2018-05-31,113056,113203,113056,113086,466,-0.0003005657708627929
2018-06-29,114447,114536,114330,114458,2753,-0.000724631354711458
2018-07-31,114570,114795,114443,114781,742,0.0015794066317627031
2018-08-31,117078,117078,116662,117079,364,0.002817987152034185
2018-09-28,116833,117132,116730,117005,851,0.0013864758693289403
2018-10-31,118592,118592,118180,118215,4156,-0.0034310667498440584
2018-11-30,119738,120032,119660,119837,2036,0.0014791910412836895
2018-12-31,121435,121455,121325,121370,4390,-0.00012357375293492456
2019-01-31,120860,120945,120800,120855,3899,-0.0010332286328318396
