Date,KODEX200,12M_Score,MA12_Score,MA6_Score,market_score_ma5,월별수익,매수가능금액,구매수량,매수금액,매도금액,현금,잔고
2010-01-29,18742,0.0,0.92,0.83,0.0,,0.0,0.0,0.0,0.0,1000000.0,1000000.0
2010-02-26,18559,0.0,0.83,0.67,0.0,0.99,0.0,0.0,0.0,0.0,1000000.0,1000000.0
2010-03-31,19789,0.17,0.92,0.83,0.0,1.07,0.0,0.0,0.0,0.0,1000000.0,1000000.0
2010-04-30,20377,0.25,0.92,0.83,0.0,1.03,0.0,0.0,0.0,0.0,1000000.0,1000000.0
2010-05-31,19134,0.17,0.58,0.17,0.48,0.94,72000.0,4.0,76536.0,78832.0,923464.0,1000000.0
2010-06-30,19716,0.25,0.75,0.5,0.48,1.03,158764.0,8.0,157728.0,164037.0,844568.0,1002296.0
2010-07-30,20489,0.5,0.92,0.83,0.54,1.04,245091.0,12.0,245868.0,243409.0,762737.0,1008605.0
2010-08-31,20302,0.42,0.83,0.67,0.56,0.99,225377.0,11.0,223322.0,238955.0,782824.0,1006146.0
2010-09-30,21678,0.67,0.92,0.83,0.6,1.07,275880.0,13.0,281814.0,284632.0,739965.0,1021779.0
2010-10-29,21845,0.75,0.92,0.83,0.69,1.01,318137.0,15.0,327675.0,337505.0,696922.0,1024597.0
2010-11-30,22538,0.83,0.92,0.83,0.77,1.03,358429.0,16.0,360608.0,393063.0,673819.0,1034427.0
2010-12-31,24515,0.92,0.92,0.83,0.81,1.09,388878.0,16.0,392240.0,396162.0,674642.0,1066882.0
2011-01-31,24715,1.0,0.92,0.83,0.88,1.01,424039.0,17.0,420155.0,394946.0,650649.0,1070804.0
2011-02-28,23230,0.83,0.58,0.17,0.86,0.94,134882.0,6.0,139380.0,151924.0,906215.0,1045595.0
2011-03-31,25255,1.0,0.92,0.83,0.88,1.09,419023.0,17.0,429335.0,446508.0,628804.0,1058139.0
2011-04-29,26331,1.0,0.92,0.83,0.9,1.04,435501.0,17.0,447627.0,438674.0,627685.0,1075312.0
2011-05-31,25754,0.92,0.75,0.5,0.88,0.98,309671.0,12.0,309048.0,299777.0,757311.0,1066359.0
2011-06-30,25024,0.75,0.5,0.0,0.82,0.97,0.0,0.0,0.0,0.0,1057088.0,1057088.0
2011-07-29,25178,0.75,0.67,0.33,0.82,1.01,216703.0,9.0,226602.0,197144.0,830486.0,1057088.0
2011-08-31,21987,0.25,0.0,0.0,0.65,0.87,0.0,0.0,0.0,0.0,1027630.0,1027630.0
2011-09-30,20888,0.0,0.0,0.0,0.46,0.95,0.0,0.0,0.0,0.0,1027630.0,1027630.0
2011-10-31,22779,0.33,0.25,0.5,0.35,1.09,118691.0,5.0,113895.0,110478.0,913735.0,1027630.0
2011-11-30,21992,0.17,0.17,0.33,0.26,0.97,66574.0,3.0,65976.0,65976.0,958237.0,1024213.0
2011-12-30,21883,0.08,0.0,0.0,0.12,1.0,0.0,0.0,0.0,0.0,1024213.0,1024213.0
2012-01-31,23581,0.5,0.75,0.83,0.22,1.08,101397.0,4.0,94324.0,98097.0,929889.0,1024213.0
2012-02-29,24458,0.58,0.92,0.83,0.38,1.04,175786.0,7.0,171206.0,171206.0,856780.0,1027986.0
2012-03-30,24417,0.5,0.83,0.67,0.45,1.0,185038.0,8.0,195336.0,193383.0,832650.0,1027986.0
2012-04-30,24285,0.5,0.75,0.5,0.54,0.99,182839.0,8.0,194280.0,178738.0,831753.0,1026033.0
2012-05-31,22402,0.33,0.0,0.0,0.57,0.92,0.0,0.0,0.0,0.0,1010491.0,1010491.0
2012-06-29,22483,0.42,0.08,0.17,0.49,1.0,74271.0,3.0,67449.0,68798.0,943042.0,1010491.0
2012-07-31,22942,0.58,0.33,0.33,0.43,1.02,108773.0,5.0,114710.0,114710.0,897130.0,1011840.0
2012-08-31,22942,0.58,0.25,0.33,0.38,1.0,96125.0,4.0,91768.0,96356.0,920072.0,1011840.0
2012-09-28,24070,0.75,0.92,0.83,0.42,1.05,192105.0,8.0,192560.0,182932.0,823868.0,1016428.0
2012-10-31,22966,0.58,0.0,0.0,0.45,0.95,0.0,0.0,0.0,0.0,1006800.0,1006800.0
2012-11-30,23380,0.58,0.67,0.67,0.52,1.02,209414.0,9.0,210420.0,218837.0,796380.0,1006800.0
2012-12-31,24346,0.83,0.92,0.83,0.61,1.04,278677.0,11.0,267806.0,262450.0,747411.0,1015217.0
2013-01-31,23826,0.58,0.75,0.5,0.66,0.98,219948.0,9.0,214434.0,223011.0,795427.0,1009861.0
2013-02-28,24757,1.0,0.92,0.83,0.68,1.04,311642.0,13.0,321841.0,315404.0,696597.0,1018438.0
2013-03-29,24300,0.75,0.75,0.5,0.78,0.98,260489.0,11.0,267300.0,259281.0,744701.0,1012001.0
2013-04-30,23593,0.5,0.08,0.0,0.71,0.97,0.0,0.0,0.0,0.0,1003982.0,1003982.0
