Date,Open,High,Low,Close,Volume,Change
2010-01-29,19052,19066,18668,18742,2717811,-0.026996158
2010-02-26,18611,18683,18514,18559,974615,0.000431244
2010-03-31,19853,19858,19729,19789,883019,-0.003775675
2010-04-30,20331,20403,20313,20377,758179,0.007814432
2010-05-31,18887,19126,18882,19134,1979678,0.012220282
2010-06-30,19568,19720,19524,19716,1779351,-0.008997235
2010-07-30,20637,20642,20461,20489,924894,-0.00818085
2010-08-31,20342,20387,20212,20302,1462985,-0.009513587
2010-09-30,21612,21684,21604,21678,893776,0.000923446
2010-10-29,22058,22068,21600,21845,1865914,-0.00884755
2010-11-30,22219,22531,22151,22538,1475590,0.014220142
2010-12-31,24409,24504,24376,24515,1658776,0.005496083
2011-01-31,25004,25034,24701,24715,972888,-0.018428055
2011-02-28,23482,23482,23212,23230,1757724,-0.01106854
2011-03-31,25220,25243,25114,25255,1942268,0.003775835
2011-04-29,26474,26595,26202,26331,1182824,-0.005626888
2011-05-31,25110,25844,25110,25754,1268055,0.025688
2011-06-30,25052,25093,24896,25024,2061799,0.00288554
2011-07-29,25480,25499,25167,25178,1675374,-0.012123828
2011-08-31,21595,21979,21464,21987,4405163,0.017963795
2011-09-30,20844,21045,20533,20888,6569338,0.000814527
2011-10-31,22951,23119,22625,22779,2860497,-0.008056088
2011-11-30,22018,22070,21870,21992,8422083,-0.005426918
2011-12-30,21749,21970,21651,21883,1866182,0.000823233
2012-01-31,23458,23683,23367,23581,1779472,0.005414855
2012-02-29,24277,24513,24277,24458,3165732,0.01099537
2012-03-30,24436,24485,24332,24417,3035344,-0.002410525
2012-04-30,24309,24355,24213,24285,4568990,0.004757964
2012-05-31,22117,22395,22023,22402,3535668,-0.002093634
2012-06-29,21943,22478,21818,22483,3769802,0.020470225
2012-07-31,22454,23220,22432,22942,11091497,0.021187572
2012-08-31,22866,23055,22848,22942,5276509,-0.002738535
2012-09-28,24111,24130,23976,24070,4876562,0.001622904
2012-10-31,22930,23021,22848,22966,2571167,0.008696416
2012-11-30,23328,23480,23277,23380,5006225,0.001413458
2012-12-31,24224,24404,24219,24346,2933789,0.004828924
2013-01-31,23782,23840,23721,23826,4094564,-0.001885133
2013-02-28,24661,24865,24652,24757,7621521,0.009830315
2013-03-29,24287,24454,24287,24300,5883450,0.003924809
2013-04-30,23412,23652,23347,23593,7634746,0.012922892
2013-05-31,24123,24251,24090,24095,5311660,0.000789168
2013-06-28,22046,22408,22046,22284,5552545,0.01313935
2013-07-31,22887,22952,22814,22869,5063766,-0.00248626
2013-08-30,23049,23156,22943,23145,10153718,0.00775025
2013-09-30,24097,24202,23976,24069,5042562,-0.0084044
2013-10-31,24894,24931,24641,24646,4795640,-0.014948042
2013-11-29,24788,24963,24788,24869,7756446,0.000321789
2013-12-31,24589,24604,24497,24611,5049368,0.003834074
2014-01-31,23398,23602,23384,23567,4379104,0.011155447
2014-02-28,23953,24056,23896,23987,8241832,0.001126878
2014-03-31,23934,23999,23833,23991,11825625,0.004606172
2014-04-30,23888,23888,23652,23767,9349160,-0.000588705
2014-05-30,24416,24480,24214,24222,5120259,-0.008311157
2014-06-30,24136,24265,24136,24222,4790092,0.004562044
2014-07-31,25211,25358,25087,25148,13919456,-0.004867239
2014-08-29,24677,24695,24522,24672,6392736,-0.002829197
2014-09-30,23897,23977,23759,23867,10678545,-0.004297038
2014-10-31,23158,23264,23017,23265,7339042,0.007622677
2014-11-28,23531,23614,23507,23559,6654768,-0.000212188
2014-12-31,23186,23259,22910,22988,9056165,-0.00947949
2015-01-30,23703,23754,23590,23623,8656579,-0.000423137
2015-02-27,23712,23754,23614,23679,7432229,-0.003325196
2015-03-31,24265,24278,24105,24155,6893954,0.000372733
2015-04-30,25155,25187,25032,25128,7481911,-0.004516282
2015-05-29,24368,24651,24329,24561,5489352,0.005197675
2015-06-30,23547,23713,23529,23717,4623882,0.004149202
2015-07-31,22991,23029,22804,22922,10212211,-0.003044537
2015-08-31,21784,21841,21671,21840,6960587,-0.001326078
2015-09-30,21808,22322,21784,22293,6054689,0.007001536
2015-10-30,23469,23662,23454,23645,6977348,0.004545841
2015-11-30,23435,23440,22986,23096,5439541,-0.018986535
2015-12-31,23129,23185,22944,22959,7619883,-0.005070203
2016-01-29,22075,22185,21940,22184,6034975,0.001399359
2016-02-29,22530,22670,22496,22568,6109176,-0.001194955
2016-03-31,23671,23676,23464,23533,6169286,-0.004189235
2016-04-29,23554,23578,23376,23480,4103000,-0.003268667
2016-05-31,23117,23333,23015,23336,4623806,0.008121652
